PC = 0x00000000 (0)
Reg 0 = 0x00000000 (0)
Reg 1 = 0x00000000 (0)
Reg 2 = 0x0000000a (10)
Reg 3 = 0x0000ffff (65535)
Reg 4 = 0x0000ffff (65535)
Reg 5 = 0x7ffff000 (2147479552)
Reg 6 = 0x7ffff004 (2147479556)
Reg 7 = 0xffff0000 (-65536)
Reg 8 = 0x00000000 (0)
Reg 9 = 0x00000000 (0)
Reg 10 = 0xffffffff (-1)
Reg 11 = 0xffffffff (-1)
Reg 12 = 0x00000000 (0)
Reg 13 = 0x00010000 (65536)
Reg 14 = 0x00000000 (0)
Reg 15 = 0x00000000 (0)
Reg 16 = 0x00000000 (0)
Reg 17 = 0x00000000 (0)
Reg 18 = 0x00000000 (0)
Reg 19 = 0x00000000 (0)
Reg 20 = 0x00000000 (0)
Reg 21 = 0x00000000 (0)
Reg 22 = 0x00000000 (0)
Reg 23 = 0x00000000 (0)
Reg 24 = 0x00000000 (0)
Reg 25 = 0x00000000 (0)
Reg 26 = 0x00000000 (0)
Reg 27 = 0x00000000 (0)
Reg 28 = 0x10008000 (268468224)
Reg 29 = 0x7fffeffc (2147479548)
Reg 30 = 0x00000000 (0)
Reg 31 = 0x0040001c (4194332)
HI = 0x00000000 (0)
LO = 0x00010000 (65536)
